Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
20110290,Rosemary Hickman,1,ES 613-Modern Control Theory,CE 304-Concrete Design,,,,
19110563,Jakobe Casey,3,ME 636-Fuel Cell and Battery Systems,MSE 625-Thermodynamics of thin film growth,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,CE 304-Concrete Design,CL 604-Advanced Reaction Engineering
21510241,Sylvia Butler,2,ME 321-Mechanics of Deformable Bodies,MA 624-Partial Differential Equations,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth
22510793,Ryder Crane,1,EH 617-Advanced Field Techniques in Earth Sciences,,,,,
22520823,Della Colon,3,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,MSE 310-Physics of Materials,CE 304-Concrete Design,,
22110117,Bruce Villegas,4,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,MA 605-Commutative Algebra,MA 624-Partial Differential Equations,CH 401-Food Chemistry,HS 643-Indian and Western Cultural Theory
21510170,Jessie Villegas,1,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,,,,
22510770,Clyde Pace,3,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,ES 613-Modern Control Theory,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,
20510860,Giana Dorsey,2,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,ES 415-Nature-inspired Materials Design,,,
19510296,Enoch Guerrero,2,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,CE 304-Concrete Design,,
20110789,Margot Hartman,4,ES 243-Biology for Engineers,ES 623-Biomolecular Materials Science,ES 613-Modern Control Theory,MA 605-Commutative Algebra,MA 603-Nonlinear Analysis with Applications,
19520280,Baker Parrish,4,ES 613-Modern Control Theory,HS 649-Public Policy and its Impact Evaluation,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,,
19520975,Tiana Davila,2,CL 221-Chemical Engineering Thermodynamics,MA 603-Nonlinear Analysis with Applications,CE 304-Concrete Design,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,
23110701,Grey Rivers,3,ME 321-Mechanics of Deformable Bodies,CL 628-Liquid State Theory,MSE 625-Thermodynamics of thin film growth,MSE 310-Physics of Materials,MA 624-Partial Differential Equations,
20510684,Kiana Roy,3,HS 643-Indian and Western Cultural Theory,MSE 401-Introduction to Polymer Physics and Processing,CL 628-Liquid State Theory,MA 603-Nonlinear Analysis with Applications,MA 624-Partial Differential Equations,
21510690,Marcelo Pham,4,EH 614-Physics of the Lithosphere,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,CL 221-Chemical Engineering Thermodynamics,,
23510731,Raelyn Arroyo,4,ES 243-Biology for Engineers,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry
23510181,Alberto Raymond,3,CE 636-Traffic and Roadway Engineering,ES 623-Biomolecular Materials Science,HS 649-Public Policy and its Impact Evaluation,ES 415-Nature-inspired Materials Design,,
20110152,Hadlee Pearson,1,MSE 401-Introduction to Polymer Physics and Processing,ES 415-Nature-inspired Materials Design,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,HS 649-Public Policy and its Impact Evaluation,MSE 625-Thermodynamics of thin film growth
20520026,Gunner King,4,MSE 209-Material Thermodynamics and Kinetics,CL 628-Liquid State Theory,ES 623-Biomolecular Materials Science,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,
22520132,Victoria McCormick,1,CL 628-Liquid State Theory,,,,,
19110275,Jasiah Stout,4,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,,
20520523,Chana Knight,3,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics,MA 605-Commutative Algebra,MA 624-Partial Differential Equations,
22110970,Beckett Daniels,1,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,,,,
23110533,Ember Kemp,3,ES 623-Biomolecular Materials Science,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,,,
21110984,Melvin Maxwell,4,ME 321-Mechanics of Deformable Bodies,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,EH 614-Physics of the Lithosphere,CE 304-Concrete Design,MA 603-Nonlinear Analysis with Applications
22520048,Kyla Mullins,4,MSE 625-Thermodynamics of thin film growth,ME 321-Mechanics of Deformable Bodies,EH 614-Physics of the Lithosphere,ES 613-Modern Control Theory,PH 607-Topics in Quantum and Statistical Mechanics,MSE 401-Introduction to Polymer Physics and Processing
22510212,Allen Franco,2,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,CH 401-Food Chemistry,
21510796,Charleigh James,2,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,ES 243-Biology for Engineers,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,
20510321,Jaxson Spence,1,PH 607-Topics in Quantum and Statistical Mechanics,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,ES 243-Biology for Engineers,MA 605-Commutative Algebra,
23520240,Aislinn Bell,2,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,,,
23510969,Emmett McMahon,3,CS 303-Mathematical Foundations for AI,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,
19510973,Belen Dennis,3,EH 617-Advanced Field Techniques in Earth Sciences,MSE 310-Physics of Materials,CL 628-Liquid State Theory,MSE 401-Introduction to Polymer Physics and Processing,HS 649-Public Policy and its Impact Evaluation,CS 303-Mathematical Foundations for AI
20510377,Emanuel Castaneda,3,PH 607-Topics in Quantum and Statistical Mechanics,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory,,,
19510463,Keira Golden,4,CG 506-Experimental Techniques in Cognitive Science,HS 643-Indian and Western Cultural Theory,EH 614-Physics of the Lithosphere,MA 624-Partial Differential Equations,CL 604-Advanced Reaction Engineering,HS 649-Public Policy and its Impact Evaluation
19510312,Amias Burton,4,EH 614-Physics of the Lithosphere,PH 607-Topics in Quantum and Statistical Mechanics,EH 617-Advanced Field Techniques in Earth Sciences,CL 221-Chemical Engineering Thermodynamics,CE 304-Concrete Design,CL 628-Liquid State Theory
21520387,Miriam Gilbert,4,MA 605-Commutative Algebra,CG 506-Experimental Techniques in Cognitive Science,ES 415-Nature-inspired Materials Design,ME 321-Mechanics of Deformable Bodies,,
19510649,Tobias Crane,3,ME 321-Mechanics of Deformable Bodies,MA 605-Commutative Algebra,MSE 401-Introduction to Polymer Physics and Processing,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,
23520677,Della Salinas,2,CL 221-Chemical Engineering Thermodynamics,MA 603-Nonlinear Analysis with Applications,ME 636-Fuel Cell and Battery Systems,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science,
20110729,Edgar Norton,2,HS 632-A Multilingual Nation,CS 303-Mathematical Foundations for AI,MSE 401-Introduction to Polymer Physics and Processing,ME 636-Fuel Cell and Battery Systems,ES 613-Modern Control Theory,EH 614-Physics of the Lithosphere
20510830,Kylee Morse,3,ES 243-Biology for Engineers,MSE 625-Thermodynamics of thin film growth,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,,
19110415,Bode Vincent,1,ME 321-Mechanics of Deformable Bodies,MSE 625-Thermodynamics of thin film growth,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,CL 628-Liquid State Theory,CL 221-Chemical Engineering Thermodynamics
19110700,Allyson Moyer,2,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,MA 605-Commutative Algebra,
22510521,Ahmir Suarez,2,MSE 401-Introduction to Polymer Physics and Processing,MA 603-Nonlinear Analysis with Applications,HS 632-A Multilingual Nation,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations,
23520530,Jimena Moses,2,CE 304-Concrete Design,CL 221-Chemical Engineering Thermodynamics,ES 413-Deep Learning,,,
20110889,Niklaus Tyler,3,MSE 310-Physics of Materials,CE 624-River Engineering,MA 624-Partial Differential Equations,PH 607-Topics in Quantum and Statistical Mechanics,CS 303-Mathematical Foundations for AI,
19510462,Helena Felix,3,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,HS 632-A Multilingual Nation,,,
20510012,Rodney Castro,1,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,CL 221-Chemical Engineering Thermodynamics
19110079,Eloise Novak,1,MA 603-Nonlinear Analysis with Applications,HS 649-Public Policy and its Impact Evaluation,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,ME 636-Fuel Cell and Battery Systems,
20520548,Bishop Odom,4,MA 605-Commutative Algebra,MSE 625-Thermodynamics of thin film growth,CL 604-Advanced Reaction Engineering,MSE 310-Physics of Materials,MSE 401-Introduction to Polymer Physics and Processing,
23520905,Laylani Swanson,3,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,
19520897,Hugo Bradley,3,MA 605-Commutative Algebra,CS 303-Mathematical Foundations for AI,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,,
23520171,Vanessa Cannon,1,ME 321-Mechanics of Deformable Bodies,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,,,
20510240,Archie Durham,2,CE 304-Concrete Design,MA 624-Partial Differential Equations,,,,
21520255,Tiffany Schmidt,1,CL 604-Advanced Reaction Engineering,ME 636-Fuel Cell and Battery Systems,MSE 209-Material Thermodynamics and Kinetics,,,
22110871,Zayden Meyer,3,ES 623-Biomolecular Materials Science,ES 243-Biology for Engineers,MSE 625-Thermodynamics of thin film growth,,,
21110137,Sara Parsons,3,CH 401-Food Chemistry,ES 613-Modern Control Theory,CL 628-Liquid State Theory,EH 617-Advanced Field Techniques in Earth Sciences,,
23510502,Lewis Ross,3,CL 221-Chemical Engineering Thermodynamics,MA 605-Commutative Algebra,CE 304-Concrete Design,ES 415-Nature-inspired Materials Design,,
19510432,Peyton Simpson,2,MSE 625-Thermodynamics of thin film growth,ME 321-Mechanics of Deformable Bodies,,,,
23520024,Elliott Lowe,1,ME 321-Mechanics of Deformable Bodies,,,,,
21520435,Amari Ward,1,ES 613-Modern Control Theory,MSE 625-Thermodynamics of thin film growth,CE 304-Concrete Design,MSE 401-Introduction to Polymer Physics and Processing,,
21520436,Jameson Yu,4,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,MS 404-Neuromarketing,MSE 401-Introduction to Polymer Physics and Processing,ME 321-Mechanics of Deformable Bodies,CS 303-Mathematical Foundations for AI
21520336,Navy Larson,2,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,CH 401-Food Chemistry,MSE 209-Material Thermodynamics and Kinetics,,
21520372,Rafael Marshall,2,CE 304-Concrete Design,CS 303-Mathematical Foundations for AI,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,CL 628-Liquid State Theory,
21520167,Adalyn Maynard,4,CS 303-Mathematical Foundations for AI,MS 404-Neuromarketing,CL 604-Advanced Reaction Engineering,MSE 209-Material Thermodynamics and Kinetics,,
23110796,Landry Tapia,4,HS 649-Public Policy and its Impact Evaluation,EH 614-Physics of the Lithosphere,CL 628-Liquid State Theory,MSE 209-Material Thermodynamics and Kinetics,,
20110444,Michaela Ibarra,3,CH 401-Food Chemistry,PH 607-Topics in Quantum and Statistical Mechanics,MA 605-Commutative Algebra,MSE 310-Physics of Materials,,
21110909,Asa Peralta,4,MS 404-Neuromarketing,MA 603-Nonlinear Analysis with Applications,EH 617-Advanced Field Techniques in Earth Sciences,PH 607-Topics in Quantum and Statistical Mechanics,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry
23520623,Malayah Blanchard,2,MSE 625-Thermodynamics of thin film growth,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,
21110855,Adler Watkins,2,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,,,
23510257,Lola Newton,1,MA 603-Nonlinear Analysis with Applications,MA 605-Commutative Algebra,,,,
23510490,Santino Friedman,2,HS 649-Public Policy and its Impact Evaluation,ES 415-Nature-inspired Materials Design,,,,
20110632,Aspyn Williamson,3,MSE 401-Introduction to Polymer Physics and Processing,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics,CS 303-Mathematical Foundations for AI,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics
20110952,Emerson Haley,1,ME 321-Mechanics of Deformable Bodies,,,,,
19110231,Addilynn Zuniga,4,EH 617-Advanced Field Techniques in Earth Sciences,CL 628-Liquid State Theory,CL 221-Chemical Engineering Thermodynamics,HS 649-Public Policy and its Impact Evaluation,,
20110435,Sincere Yang,3,EH 614-Physics of the Lithosphere,CH 401-Food Chemistry,CE 304-Concrete Design,,,
20520689,Angelina Patton,1,CL 628-Liquid State Theory,,,,,
21520701,Moises Compton,4,MA 605-Commutative Algebra,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,CL 604-Advanced Reaction Engineering
23110948,Elina Weeks,1,ES 243-Biology for Engineers,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,,,
21110905,Anders Calderon,2,MSE 310-Physics of Materials,ES 623-Biomolecular Materials Science,,,,
23510577,Serena Hines,1,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,,,,
22110594,Uriel McKee,2,CS 303-Mathematical Foundations for AI,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,,,
19110723,Kori Velazquez,1,MSE 401-Introduction to Polymer Physics and Processing,HS 643-Indian and Western Cultural Theory,,,,
20510915,Drew Roach,2,CL 604-Advanced Reaction Engineering,MA 605-Commutative Algebra,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,ES 623-Biomolecular Materials Science,
20110602,Lyanna Lang,3,HS 643-Indian and Western Cultural Theory,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,
20520147,Wells Barnes,3,HS 649-Public Policy and its Impact Evaluation,CL 604-Advanced Reaction Engineering,ES 613-Modern Control Theory,ES 243-Biology for Engineers,,
22110078,Liliana Holloway,3,ME 636-Fuel Cell and Battery Systems,PH 607-Topics in Quantum and Statistical Mechanics,HS 632-A Multilingual Nation,,,
19110256,Sutton Lowe,2,PH 607-Topics in Quantum and Statistical Mechanics,MSE 310-Physics of Materials,MA 605-Commutative Algebra,ME 321-Mechanics of Deformable Bodies,EH 617-Advanced Field Techniques in Earth Sciences,HS 649-Public Policy and its Impact Evaluation
21520504,Amari Fisher,3,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science,MA 605-Commutative Algebra,CH 401-Food Chemistry,HS 649-Public Policy and its Impact Evaluation,
19510564,Gael Prince,4,CS 303-Mathematical Foundations for AI,MS 404-Neuromarketing,HS 643-Indian and Western Cultural Theory,CL 221-Chemical Engineering Thermodynamics,MA 624-Partial Differential Equations,
